timestamp,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6
58781,-3.263476563,-5.431152344,-7.598828125,0.701219512,0.243902439,-1.067073171
58782,-3.285009766,-5.440722656,-7.613183594,0.579268293,0.823170732,-1.280487805
58783,-3.263476563,-5.450292969,-7.613183594,0.335365854,0.792682927,-1.463414634
58784,-3.227587891,-5.462255859,-7.641894531,0.243902439,0.853658537,-1.615853659
58785,-3.246728516,-5.402441406,-7.589257813,0.487804878,1.554878049,-1.646341463
58786,-3.237158203,-5.443115234,-7.589257813,0.213414634,1.31097561,-1.432926829
58787,-3.234765625,-5.464648438,-7.649072266,0.243902439,1.097560976,-1.219512195
58788,-3.258691406,-5.416796875,-7.601220703,0.579268293,1.31097561,-1.036585366
58789,-3.249121094,-5.409619141,-7.634716797,0.457317073,1.067073171,-1.25
58790,-3.256298828,-5.443115234,-7.665820313,0.457317073,1.006097561,-1.37195122
58791,-3.237158203,-5.445507813,-7.620361328,0.792682927,0.762195122,-1.524390244
58792,-3.249121094,-5.433544922,-7.613183594,1.006097561,0.609756098,-1.493902439
58793,-3.244335938,-5.4359375,-7.610791016,0.975609756,0.426829268,-1.37195122
58794,-3.265869141,-5.457470703,-7.596435547,0.884146342,0.396341463,-1.280487805
58795,-3.261083984,-5.428759766,-7.596435547,0.853658537,0.518292683,-1.37195122
58796,-3.261083984,-5.409619141,-7.606005859,0.518292683,0.426829268,-1.554878049
58797,-3.261083984,-5.457470703,-7.608398438,0.396341463,0.396341463,-1.554878049
58798,-3.229980469,-5.428759766,-7.610791016,0.518292683,0.457317073,-1.554878049
58799,-3.249121094,-5.455078125,-7.603613281,0.701219512,0.945121951,-1.432926829
58800,-3.268261719,-5.359375,-7.598828125,0.731707317,1.006097561,-1.219512195
58801,-3.189306641,-5.395263672,-7.651464844,0.152439024,0.335365854,-1.158536585
58802,-3.344824219,-5.507714844,-7.663427734,0.274390244,1.432926829,-1.615853659
58803,-3.325683594,-5.464648438,-7.632324219,1.18902439,0.731707317,-1.859756098
58804,-3.143847656,-5.4359375,-7.641894531,1.493902439,-0.365853659,-1.707317073
58805,-3.261083984,-5.421582031,-7.546191406,1.676829268,1.006097561,-1.036585366
58806,-3.265869141,-5.416796875,-7.572509766,1.341463415,0.609756098,-0.792682927
58807,-3.280224609,-5.438330078,-7.625146484,0.884146342,0.426829268,-0.945121951
58808,-3.270654297,-5.414404297,-7.565332031,0.579268293,0.762195122,-1.402439024
58809,-3.251513672,-5.421582031,-7.601220703,0.06097561,0.609756098,-1.768292683
58810,-3.227587891,-5.450292969,-7.653857422,-0.06097561,0.823170732,-1.798780488
58811,-3.234765625,-5.409619141,-7.639501953,0.335365854,1.219512195,-1.768292683
58812,-3.215625,-5.440722656,-7.653857422,0.426829268,1.006097561,-1.615853659
